Community Name,Latitude,Longitude
Adak,51.8745,-176.6347
Adak Station,51.8452,-176.6437
Afognak,58.0069,-152.7703
Akhiok,56.9468,-154.1732
Akiachak,60.9138,-161.4491
Akiak,60.9122,-161.2139
Akutan,54.1338,-165.7768
Alakanuk,62.6871,-164.6216
Alatna,66.5545,-152.7013
Alcan Border,62.6221,-141.0106
Aleknagik,59.2812,-158.6262
Aleneva,58.0041,-152.881
Aleutians East Borough,56.7921,-158.158
Alexander Creek,61.4142,-150.5991
Allakaket,66.5633,-152.6445
Alpine,70.3444,-150.9247
Ambler,67.0854,-157.8595
Anaktuvuk Pass,68.1415,-151.7395
Anchor Point,59.7764,-151.834
Anchorage,61.2163,-149.8948
Anderson,64.3431,-149.1883
Andreafsky,62.0472,-163.1911
Angoon,57.4977,-134.5847
Aniak,61.5806,-159.5501
Anvik,62.6522,-160.198
Arctic Village,68.1285,-145.5355
Atka,52.1986,-174.1985
Atmautluak,60.8573,-162.2764
Atqasuk,70.4812,-157.4185
Attu Station,52.826,173.1708
Auke Bay,58.3702,-134.6701
Ayakulik,57.1976,-154.5342
Badger,64.8046,-147.4126
Bear Creek,60.1685,-149.4023
Beaver,66.3604,-147.3972
Belkofski,55.0875,-162.0312
Beluga,61.1721,-151.043
Bethel,60.8021,-161.7706
Bettles,66.9164,-151.5188
Big Delta,64.1472,-145.8346
Big Lake,61.5399,-149.819
Big Salt,55.5574,-133.0846
Bill Moore's Slough,63.0322,-163.5654
Birch Creek,66.263,-145.8179
Birchwood,61.4088,-149.4966
Boundary,64.0855,-141.0023
Brevig Mission,65.3333,-166.4879
Bristol Bay Borough,58.75,-156.8334
Buckland,65.978,-161.1255
Buffalo Soapstone,61.6913,-149.0111
Butte,61.5364,-149.0058
Candle,65.9126,-161.9278
Cantwell,63.3917,-148.9508
Canyon Village,67.1475,-142.1008
Cape Lisburne,68.8802,-166.2126
Cape Yakataga,60.0693,-142.4306
Central,65.5707,-144.822
Chalkyitsik,66.6504,-143.7279
Chase,62.4498,-150.0513
Chatanika,65.1109,-147.4792
Chefornak,60.1576,-164.2825
Chena Hot Springs,65.0525,-146.0583
Chena Ridge,64.8259,-147.9692
Chenega,60.0657,-148.0104
Chevak,61.531,-165.5859
Chickaloon,61.7765,-148.4933
Chicken,64.0733,-141.9361
Chignik,56.2928,-158.402
Chignik Lagoon,56.3104,-158.5378
Chignik Lake,56.2537,-158.7631
Chiniak,57.618,-152.2228
Chisana,62.0597,-142.0353
Chistochina,62.5664,-144.6642
Chitina,61.5165,-144.4411
Chuathbaluk,61.5719,-159.245
Chugiak,61.3699,-149.5352
Chuloonawick,62.9451,-164.1793
Circle,65.8267,-144.0668
Circle Hot Springs,65.4821,-144.6395
Circle View Stampede,61.5422,-149.0333
City and Borough of Juneau,58.3021,-134.4106
City and Borough of Sitka,57.0583,-135.3448
City and Borough of Wrangell,56.4717,-132.3804
City and Borough of Yakutat,59.5465,-139.7228
Clam Gulch,60.2264,-151.4022
Clark's Point,58.8353,-158.5442
Clear,64.2554,-149.1905
Coffman Cove,56.0141,-132.828
Cohoe,60.3691,-151.3196
Cold Bay,55.2056,-162.716
Coldfoot,67.2562,-150.1896
College,64.8569,-147.8028
Cooper Landing,60.4895,-149.8114
Copper Center,61.955,-145.3053
Copperville,62.0704,-145.4142
Cordova,60.5403,-145.7588
Council,64.895,-163.6764
Covenant Life,59.3937,-135.9898
Craig,55.4759,-133.1368
Crooked Creek,61.8704,-158.1058
Crown Point,60.4193,-149.3695
Cube Cove,57.9415,-134.7336
Deering,66.0755,-162.7244
Delta Junction,64.0428,-145.7141
Deltana,63.8871,-145.1738
Denali Borough,63.85,-148.9667
Diamond Ridge,59.6761,-151.5575
Dillingham,59.0406,-158.4656
Diomede,65.7589,-168.9515
Dot Lake,63.6638,-144.0688
Dot Lake Village,63.6556,-144.0493
Douglas,58.2792,-134.4009
Dry Creek,63.6752,-144.6018
Dyea,59.4832,-135.3609
Eagle,64.7869,-141.2027
Eagle River,61.3151,-149.5465
Eagle Village,64.7806,-141.1136
Edna Bay,55.9551,-133.6582
Eek,60.2158,-162.0258
Egegik,58.2122,-157.3755
Eielson AFB,64.6701,-147.0811
Eklutna,61.461,-149.362
Ekuk,58.816,-158.5608
Ekwok,59.3497,-157.4767
Elfin Cove,58.1939,-136.3455
Elim,64.616,-162.2648
Emmonak,62.7785,-164.5287
Ester,64.8554,-147.9768
Ester Dome,64.8793,-148.0553
Eureka Roadhouse,61.9386,-147.1681
Evansville,66.9246,-151.5058
Excursion Inlet,58.4168,-135.4431
Eyak,60.5263,-145.6351
Fairbanks,64.8357,-147.7336
Fairbanks North Star Borough,64.8357,-147.7336
False Pass,54.8549,-163.4119
Farm Loop,61.64,-149.1453
Farmers Loop,64.8898,-147.7606
Ferry,64.0171,-149.1157
Fishhook,61.6932,-149.2487
Flat,62.4536,-158.0075
Fort Glenn,53.3851,-167.8955
Fort Greely,63.9918,-145.7239
Fort Wainwright,64.8278,-147.6437
Fort Yukon,66.564,-145.259
Four Mile Road,64.6003,-149.1179
Fox,64.9581,-147.6183
Fox River,59.8535,-150.916
Fritz Creek,59.7254,-151.2987
Funny River,60.5019,-150.7622
Gakona,62.3019,-145.3019
Galena,64.7418,-156.9543
Gambell,63.7769,-171.7152
Game Creek,58.0559,-135.5099
Gateway,61.5741,-149.24
Georgetown,61.891,-157.6827
Girdwood,60.9608,-149.1353
Glacier View,61.7935,-147.7437
Glennallen,62.1127,-145.5278
Gold Sand Acres,63.9822,-145.5374
Goldstream,64.9273,-147.8795
Golovin,64.5428,-163.0351
Goodnews Bay,59.122,-161.592
Grayling,62.9066,-160.0666
Gulkana,62.2686,-145.3719
Gustavus,58.4189,-135.7104
Haines,59.2345,-135.453
Haines Borough,59.2345,-135.453
Halibut Cove,59.5977,-151.2238
Hamilton,62.8961,-163.8942
Happy Valley,59.935,-151.738
Harding-Birch Lakes,64.3715,-146.5993
Haystack,65.1227,-147.6286
Healy,63.8734,-149.0033
Healy Lake,63.9957,-144.6982
Hobart Bay,57.4643,-133.3478
Hollis,55.4822,-132.65
Holy Cross,62.2005,-159.7686
Homer,59.6434,-151.5555
Hoonah,58.1088,-135.4424
Hooper Bay,61.5218,-166.0961
Hope,60.9184,-149.6382
Houston,61.6312,-149.8007
Hughes,66.0489,-154.2556
Huslia,65.7018,-156.3892
Hydaburg,55.2071,-132.8261
Hyder,55.9191,-130.0301
Iditarod,62.5442,-158.0957
Igiugig,59.327,-155.8955
Iliamna,59.7547,-154.9061
Ivanoff Bay,55.9034,-159.4842
Jakolof Bay,59.4659,-151.5378
Joint Base Elmendorf-Richardson,61.255,-149.7425
Juneau,58.3021,-134.4106
Kachemak,59.6771,-151.4199
Kachemak Selo,59.7915,-151.0747
Kaguyak,56.8604,-153.7662
Kake,56.9772,-133.9472
Kaktovik,70.1276,-143.6159
Kalifornsky,60.4866,-151.1426
Kaltag,64.3247,-158.7238
Kanatak,57.5678,-156.0361
Karluk,57.5625,-154.4367
Kasaan,55.5398,-132.405
Kasigluk,60.8946,-162.5195
Kasilof,60.3249,-151.2568
Kenai,60.5537,-151.2546
Kenai Peninsula Borough,60.5537,-151.2546
Kenny Lake,61.7301,-144.9369
Ketchikan,55.3535,-131.6774
Ketchikan Gateway Borough,55.3535,-131.6774
Kiana,66.9717,-160.4373
King Cove,55.0607,-162.3161
King Island,64.9611,-168.055
King Salmon,58.6935,-156.6688
Kipnuk,59.9364,-164.0379
Kivalina,67.7258,-164.5355
Klawock,55.5535,-133.0991
Klawock Lake,55.5284,-132.9908
Klehini Valley,59.428,-136.1323
Klukwan,59.4004,-135.8959
Knik,61.4578,-149.7289
Knik River,61.4971,-148.9409
Knik-Fairview,61.5169,-149.6208
Kobuk,66.908,-156.8819
Kodiak,57.7962,-152.3898
Kodiak Island Borough,57.7962,-152.3898
Kodiak Station,57.7381,-152.5037
Kokhanok,59.44,-154.7492
Koliganek,59.7264,-157.2857
Kongiganak,59.9594,-162.8871
Kotlik,63.0316,-163.5549
Kotzebue,66.8959,-162.5869
Koyuk,64.932,-161.1572
Koyukuk,64.8816,-157.7043
Kupreanof,56.8144,-132.9806
Kwethluk,60.8122,-161.4358
Kwigillingok,59.8771,-163.1576
Lake and Peninsula Borough,59.6212,-155.0427
Lake Louise,62.2762,-146.529
Lake Minchumina,63.8828,-152.3122
Lakes,61.5911,-149.2964
Larsen Bay,57.5374,-153.9806
Lazy Mountain,61.6283,-149.046
Levelock,59.1125,-156.8575
Lignite,63.9048,-149.0268
Lime Village,61.3554,-155.437
Litnik,58.0816,-152.8291
Livengood,65.5228,-148.5485
Loring,55.6028,-131.6374
Lowell Point,60.0725,-149.4411
Lower Kalskag,61.5121,-160.3615
Lutak,59.313,-135.5462
Manley Hot Springs,64.9959,-150.6372
Manokotak,58.9828,-159.0531
Marshall,61.8791,-162.087
Mary's Igloo,65.1473,-165.0638
Matanuska-Susitna Borough,61.6811,-149.0913
McCarthy,61.4331,-142.9101
McGrath,62.9534,-155.5961
McKinley Park,63.7323,-148.9169
Meadow Lakes,61.6243,-149.6036
Medfra,63.1054,-154.6992
Mekoryuk,60.3864,-166.1891
Mendeltna,62.0494,-146.5383
Mentasta Lake,62.9294,-143.7976
Mertarvik,60.811,-164.4991
Metlakatla,55.1262,-131.5773
Meyers Chuck,55.7393,-132.2563
Millers Landing,59.6659,-151.4436
Minto,65.1522,-149.3483
Moose Creek,64.7086,-147.1505
Moose Pass,60.4864,-149.3683
Mosquito Lake,59.4465,-136.0315
Mountain Point,55.2972,-131.5347
Mountain Village,62.0891,-163.7286
Mud Bay,59.16,-135.375
Municipality of Anchorage,61.2163,-149.8948
Municipality of Skagway,59.4632,-135.3076
Nabesna,62.3713,-143.013
Naknek,58.7331,-157.0052
Nanwalek,59.3544,-151.9202
Napaimute,61.5286,-158.7463
Napakiak,60.6941,-161.9709
Napaskiak,60.7078,-161.7608
Naukati Bay,55.869,-133.2027
Nelchina,61.9898,-146.7789
Nelson Lagoon,56.0012,-161.2019
Nenana,64.5619,-149.0883
New Allakaket,66.5395,-152.6518
New Stuyahok,59.4503,-157.313
Newhalen,59.7198,-154.8963
Newtok,60.9369,-164.6294
Nightmute,60.477,-164.7221
Nikiski,60.7346,-151.2969
Nikolaevsk,59.8119,-151.6106
Nikolai,63.0135,-154.3741
Nikolski,52.9401,-168.8602
Ninilchik,60.0432,-151.6758
Noatak,67.5718,-162.9885
Nome,64.4976,-165.3841
Nondalton,59.9668,-154.857
Noorvik,66.8329,-161.0437
North Lakes,61.609,-149.3042
North Pole,64.7463,-147.3688
North Slope Borough,69.2556,-152.0219
Northway,62.9617,-141.9372
Northway Junction,63.0106,-141.8001
Northway Village,62.9822,-141.9517
Northwest Arctic Borough,66.9,-162.5833
Nuiqsut,70.2172,-150.9989
Nulato,64.7178,-158.1087
Nunam Iqua,62.5318,-164.8481
Nunapitchuk,60.8965,-162.4566
Nunivak Island,60.1017,-166.3871
Ohogamiut,61.5672,-161.8654
Old Harbor,57.2035,-153.3059
Oliktok,70.4976,-149.8799
Ophir,63.144,-156.5211
Oscarville,60.7226,-161.7714
Ouzinkie,57.9225,-152.5071
Paimiut,61.6996,-165.8412
Palmer,61.5934,-149.1093
Pauloff Harbor,54.4559,-162.6997
Paxson,63.0325,-145.496
Pedro Bay,59.786,-154.1093
Pelican,57.9568,-136.222
Pennock Island,55.3212,-131.6299
Perryville,55.9116,-159.1434
Peters Creek,61.4123,-149.447
Petersburg,56.8143,-132.9523
Petersburg Borough,56.8143,-132.9523
Petersville,62.3728,-150.7322
Pile Bay,59.731,-154.0296
Pilot Point,57.5641,-157.5735
Pilot Station,61.9362,-162.892
Pitkas Point,62.0318,-163.287
Platinum,59.012,-161.8173
Pleasant Valley,64.8777,-146.8552
Point Baker,56.3514,-133.6212
Point Hope,68.3486,-166.7347
Point Lay,69.744,-163.0093
Point MacKenzie,61.3602,-150.008
Point Possession,61.035,-150.3784
Poorman,64.0998,-155.5474
Pope-Vannoy Landing,59.5547,-154.4983
Port Alexander,56.2494,-134.6468
Port Alsworth,60.196,-154.3281
Port Clarence,65.2619,-166.8495
Port Graham,59.3515,-151.8322
Port Heiden,56.9241,-158.6613
Port Lions,57.8692,-152.8789
Port Moller,55.9877,-160.5755
Port Protection,56.3224,-133.6072
Port William,58.4904,-152.5837
Portage,60.8321,-148.9852
Portage Creek,58.9052,-157.7198
Portlock,59.2127,-151.7411
Primrose,60.3576,-149.3526
Prudhoe Bay,70.2553,-148.3372
Ptarmigan Heights,59.6733,-151.454
Quinhagak,59.7516,-161.8972
Rabbit Creek,61.0848,-149.8241
Rampart,65.5034,-150.1718
Razdolna Village,59.8151,-151.0852
Red Devil,61.7823,-157.3347
Red Dog Mine,68.0717,-162.8542
Ridgeway,60.5313,-151.0811
Ruby,64.7412,-155.467
Russian Mission,61.7858,-161.3235
Saint George,56.6027,-169.5437
Saint Mary's,62.0523,-163.1811
Saint Michael,63.4786,-162.0371
Saint Paul,57.1225,-170.2796
Salamatof,60.6177,-151.3334
Salcha,64.5516,-146.9378
Sanak,54.4805,-162.8137
Sand Point,55.3516,-160.4756
Savoonga,63.6965,-170.4767
Saxman,55.3177,-131.5945
Scammon Bay,61.8412,-165.5819
Selawik,66.6046,-160.0119
Seldovia,59.4387,-151.715
Seldovia Village,59.4743,-151.65
Seward,60.13,-149.4433
Shageluk,62.6547,-159.5328
Shakan Bay,56.1508,-133.5713
Shaktoolik,64.3538,-161.1942
Shemya Station,52.7246,174.1121
Shishmaref,66.2557,-166.0727
Shungnak,66.8881,-157.1364
Shuyak Island,58.556,-152.5064
Silver Springs,62.0111,-145.3321
Sitka,57.0583,-135.3448
Skagway,59.4632,-135.3076
Skwentna,61.9662,-151.1957
Slana,62.7096,-143.9644
Sleetmute,61.7027,-157.1704
Soldotna,60.4918,-151.0691
Solomon,64.5606,-164.4416
South Lakes,61.5787,-149.3075
South Naknek,58.7133,-157.0069
South Van Horn,64.8111,-147.7592
Squaw Harbor,55.2414,-160.5512
Stebbins,63.5194,-162.2877
Steele Creek,64.8923,-147.4881
Sterling,60.537,-150.797
Stevens Village,66.0045,-149.0845
Stony River,61.7872,-156.5883
Sunrise,60.884,-149.4261
Suntrana,63.8538,-148.8481
Susitna,61.4984,-150.6339
Susitna North,62.1312,-150.0436
Sutton-Alpine,61.7159,-148.8784
Takotna,62.988,-156.062
Talkeetna,62.3176,-150.1081
Tanacross,63.3763,-143.356
Tanaina,61.6103,-149.3848
Tanana,65.1712,-152.0879
Tatitlek,60.8685,-146.6817
Tazlina,62.0474,-145.4121
Telida,63.3839,-153.2794
Teller,65.2637,-166.367
Tenakee Springs,57.7808,-135.2228
Tetlin,63.138,-142.5197
Thane,58.2606,-134.3247
Thom's Place,56.1783,-132.1347
Thorne Bay,55.6898,-132.5245
Togiak,59.0597,-160.3775
Tok,63.3367,-142.9856
Toksook Bay,60.5331,-165.109
Tolsona,62.0971,-146.1129
Tonsina,61.6613,-145.1797
Trapper Creek,62.3163,-150.2339
Tuluksak,61.0987,-160.9565
Tuntutuliak,60.3428,-162.6764
Tununak,60.5862,-165.2514
Twin Hills,59.0751,-160.2806
Two Rivers,64.8773,-147.0384
Tyonek,61.0681,-151.1434
Uganik,57.7311,-153.3194
Ugashik,57.5084,-157.3998
Umiat,69.3713,-152.1398
Umkumiute,60.498,-165.1943
Unalakleet,63.8769,-160.7948
Unalaska,53.8728,-166.5301
Unga,55.1828,-160.5064
Upper Kalskag,61.5371,-160.3123
Usibelli,63.8648,-148.7735
Utqiagvik,71.2891,-156.7685
Utqiagvik (see Barrow),0,0
Uyak,57.6368,-154.0016
Valdez,61.1343,-146.3554
Venetie,67.0167,-146.4218
Voznesenka Village,59.7943,-151.0964
Wainwright,70.6402,-160.0277
Wales,65.6052,-168.0862
Ward Cove,55.4104,-131.7221
Wasilla,61.5845,-149.4339
Whale Pass,56.1171,-133.1219
White Mountain,64.6815,-163.4119
Whitestone,64.1514,-145.8954
Whitestone Logging Camp,58.0891,-135.4422
Whittier,60.7744,-148.6883
Williamsport,59.683,-153.6308
Willow,61.7381,-150.0441
Willow Creek,61.8,-145.1851
Wiseman,67.41,-150.1075
Womens Bay,57.7055,-152.5823
Woody Island,57.775,-152.3399
Wrangell,56.4717,-132.3804
Yakutat,59.5465,-139.7228
